RecordOrder,Survey,Breakdown Variable,Indicator,Measure,Unit,Value
827,Tajikistan - 2007,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.46
828,Tajikistan - 2007,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1396
829,Tajikistan - 2007,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,73.52
830,Tajikistan - 2007,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,20.14
831,Tajikistan - 2007,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1549
832,Tajikistan - 2007,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.65
833,Tajikistan - 2007,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.38
834,Tajikistan - 2007,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1549
835,Tajikistan - 2007,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,88.38
836,Tajikistan - 2007,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,28.04
837,Tajikistan - 2007,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1698
838,Tajikistan - 2007,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,10.56
839,Tajikistan - 2007,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.37
840,Tajikistan - 2007,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1698
841,Timor-Leste - 2001,Country-level,Protein consumption,Mean,g/capita/day,46.46
842,Timor-Leste - 2001,Country-level,Protein consumption,Standard Deviation,g/capita/day,23.31
843,Timor-Leste - 2001,Country-level,Protein consumption,Number Observations,g/capita/day,1800
844,Timor-Leste - 2001,Country-level,Share of dietary energy consumption from protein,Mean,%,8.43
845,Timor-Leste - 2001,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.6
846,Timor-Leste - 2001,Country-level,Share of dietary energy consumption from protein,Number Observations,%,1800
847,Timor-Leste - 2001,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,32.18
848,Timor-Leste - 2001,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,11.18
849,Timor-Leste - 2001,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,554
850,Timor-Leste - 2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,8.07
851,Timor-Leste - 2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.42
852,Timor-Leste - 2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,554
853,Timor-Leste - 2001,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,47.46
854,Timor-Leste - 2001,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,15.5
855,Timor-Leste - 2001,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,588
856,Timor-Leste - 2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,8.43
857,Timor-Leste - 2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.46
858,Timor-Leste - 2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,588
859,Timor-Leste - 2001,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,66.17
860,Timor-Leste - 2001,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,28.83
861,Timor-Leste - 2001,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,658
862,Timor-Leste - 2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,8.96
863,Timor-Leste - 2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.84
864,Timor-Leste - 2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,658
865,Togo - 2006,Country-level,Protein consumption,Mean,g/capita/day,66.41
866,Togo - 2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,47.33
867,Togo - 2006,Country-level,Protein consumption,Number Observations,g/capita/day,7494
868,Togo - 2006,Country-level,Share of dietary energy consumption from protein,Mean,%,12.34
869,Togo - 2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.78
870,Togo - 2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,7494
871,Togo - 2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,51.32
872,Togo - 2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,31.14
873,Togo - 2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2811
874,Togo - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.41
875,Togo - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.23
876,Togo - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2811
877,Togo - 2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,67.27
878,Togo - 2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,42.77
879,Togo - 2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2417
880,Togo - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.85
881,Togo - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.03
882,Togo - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2417
883,Togo - 2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,97.25
884,Togo - 2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,64.08
885,Togo - 2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2266
886,Togo - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.92
887,Togo - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.58
888,Togo - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2266
889,Uganda - 2002-2003,Country-level,Protein consumption,Mean,g/capita/day,50.08
890,Uganda - 2002-2003,Country-level,Protein consumption,Standard Deviation,g/capita/day,32.15
891,Uganda - 2002-2003,Country-level,Protein consumption,Number Observations,g/capita/day,9709
892,Uganda - 2002-2003,Country-level,Share of dietary energy consumption from protein,Mean,%,9.41
893,Uganda - 2002-2003,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.21
894,Uganda - 2002-2003,Country-level,Share of dietary energy consumption from protein,Number Observations,%,9709
895,Uganda - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,35.09
896,Uganda - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,16.93
897,Uganda - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2696
898,Uganda - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.01
899,Uganda - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.36
900,Uganda - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2696
901,Uganda - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,48.97
902,Uganda - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,21.79
903,Uganda - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3122
904,Uganda - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.18
905,Uganda - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.99
906,Uganda - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3122
907,Uganda - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,73.4
908,Uganda - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,44.61
909,Uganda - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3891
910,Uganda - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,10.29
911,Uganda - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.08
912,Uganda - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3891
913,Uganda - 2005-2006,Country-level,Protein consumption,Mean,g/capita/day,47.48
914,Uganda - 2005-2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,26.32
915,Uganda - 2005-2006,Country-level,Protein consumption,Number Observations,g/capita/day,7419
916,Uganda - 2005-2006,Country-level,Share of dietary energy consumption from protein,Mean,%,9.85
917,Uganda - 2005-2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.24
918,Uganda - 2005-2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,7419
919,Uganda - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,35.63
920,Uganda - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,16.87
921,Uganda - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2472
922,Uganda - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,10.33
923,Uganda - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.56
924,Uganda - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2472
925,Uganda - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,49.16
926,Uganda - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,23.75
927,Uganda - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2474
928,Uganda - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.54
929,Uganda - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.98
930,Uganda - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2474
931,Uganda - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,61.96
932,Uganda - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,31.84
933,Uganda - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2473
934,Uganda - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,9.59
935,Uganda - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3
936,Uganda - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2473
937,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Protein consumption,Mean,g/capita/day,73.96
938,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Protein consumption,Standard Deviation,g/capita/day,50.89
939,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Protein consumption,Number Observations,g/capita/day,8390
940,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Share of dietary energy consumption from protein,Mean,%,14.05
941,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,5.11
942,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Share of dietary energy consumption from protein,Number Observations,%,8390
943,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,52.96
944,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,31.2
945,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1703
946,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,13.18
947,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.54
948,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1703
949,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,75.2
950,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,38.56
951,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2433
952,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,14.33
953,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.03
954,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2433
955,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,104.91
956,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,69.93
957,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,4254
958,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,15.04
959,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.8
960,Venezuela (Bolivarian Republic of) - 2004-2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,4254
961,Viet Nam - 1992-1993,Country-level,Protein consumption,Mean,g/capita/day,48.58
962,Viet Nam - 1992-1993,Country-level,Protein consumption,Standard Deviation,g/capita/day,17.68
963,Viet Nam - 1992-1993,Country-level,Protein consumption,Number Observations,g/capita/day,4800
964,Viet Nam - 1992-1993,Country-level,Share of dietary energy consumption from protein,Mean,%,9.68
965,Viet Nam - 1992-1993,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.16
966,Viet Nam - 1992-1993,Country-level,Share of dietary energy consumption from protein,Number Observations,%,4800
967,Viet Nam - 1992-1993,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,38.89
968,Viet Nam - 1992-1993,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,12.79
969,Viet Nam - 1992-1993,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1600
970,Viet Nam - 1992-1993,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.25
971,Viet Nam - 1992-1993,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.25
972,Viet Nam - 1992-1993,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1600
973,Viet Nam - 1992-1993,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,49.5
974,Viet Nam - 1992-1993,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,12.69
975,Viet Nam - 1992-1993,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1600
976,Viet Nam - 1992-1993,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.61
977,Viet Nam - 1992-1993,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,0.9
978,Viet Nam - 1992-1993,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1600
979,Viet Nam - 1992-1993,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,58.52
980,Viet Nam - 1992-1993,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,20.95
981,Viet Nam - 1992-1993,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1600
982,Viet Nam - 1992-1993,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,10.24
983,Viet Nam - 1992-1993,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.05
984,Viet Nam - 1992-1993,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1600
985,Viet Nam - 2006,Country-level,Protein consumption,Mean,g/capita/day,56.56
986,Viet Nam - 2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,21.89
987,Viet Nam - 2006,Country-level,Protein consumption,Number Observations,g/capita/day,9186
988,Viet Nam - 2006,Country-level,Share of dietary energy consumption from protein,Mean,%,10.69
989,Viet Nam - 2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.21
990,Viet Nam - 2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,9186
991,Viet Nam - 2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,44.48
992,Viet Nam - 2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,11.46
993,Viet Nam - 2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3266
994,Viet Nam - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.6
995,Viet Nam - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.53
996,Viet Nam - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3266
997,Viet Nam - 2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,57.41
998,Viet Nam - 2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,15.87
999,Viet Nam - 2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3121
1000,Viet Nam - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.67
1001,Viet Nam - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.72
1002,Viet Nam - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3121
1003,Viet Nam - 2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,69.95
1004,Viet Nam - 2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,27.96
1005,Viet Nam - 2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2799
1006,Viet Nam - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.01
1007,Viet Nam - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.61
1008,Viet Nam - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2799
1009,Zambia - 2002-2003,Country-level,Protein consumption,Mean,g/capita/day,77.84
1010,Zambia - 2002-2003,Country-level,Protein consumption,Standard Deviation,g/capita/day,54.88
1011,Zambia - 2002-2003,Country-level,Protein consumption,Number Observations,g/capita/day,7105
1012,Zambia - 2002-2003,Country-level,Share of dietary energy consumption from protein,Mean,%,16.7
1013,Zambia - 2002-2003,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,5.13
1014,Zambia - 2002-2003,Country-level,Share of dietary energy consumption from protein,Number Observations,%,7105
1015,Zambia - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,54.03
1016,Zambia - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,28.59
1017,Zambia - 2002-2003,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2159
1018,Zambia - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,16.91
1019,Zambia - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.41
1020,Zambia - 2002-2003,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2159
1021,Zambia - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,80.17
1022,Zambia - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,40.08
1023,Zambia - 2002-2003,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2226
1024,Zambia - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,16.37
1025,Zambia - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.89
1026,Zambia - 2002-2003,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2226
1027,Zambia - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,108.69
1028,Zambia - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,77.85
1029,Zambia - 2002-2003,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2720
1030,Zambia - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,16.8
1031,Zambia - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.99
1032,Zambia - 2002-2003,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2720
